image_name,split,class_id,class_name,bbox_xc,bbox_yc,bbox_w,bbox_h,source
0002.JPEG,val,0,dent,0.226744,0.936224,0.112403,0.117347,enhanced_detection
0002.JPEG,val,6,front_bumper,0.226744,0.936224,0.112403,0.117347,enhanced_detection
0002.JPEG,val,15,low,0.226744,0.936224,0.112403,0.117347,enhanced_detection
0002.JPEG,val,0,dent,0.069767,0.92602,0.131783,0.117347,enhanced_detection
0002.JPEG,val,6,front_bumper,0.069767,0.92602,0.131783,0.117347,enhanced_detection
0002.JPEG,val,15,low,0.069767,0.92602,0.131783,0.117347,enhanced_detection
0003.JPEG,val,2,crack,0.470199,0.667665,0.112583,0.125749,enhanced_detection
0003.JPEG,val,13,side_panel,0.470199,0.667665,0.112583,0.125749,enhanced_detection
0003.JPEG,val,15,low,0.470199,0.667665,0.112583,0.125749,enhanced_detection
0004.JPEG,val,0,dent,0.810345,0.943005,0.08046,0.103627,enhanced_detection
0004.JPEG,val,6,front_bumper,0.810345,0.943005,0.08046,0.103627,enhanced_detection
0004.JPEG,val,15,low,0.810345,0.943005,0.08046,0.103627,enhanced_detection
0004.JPEG,val,0,dent,0.691571,0.919689,0.141762,0.139896,enhanced_detection
0004.JPEG,val,6,front_bumper,0.691571,0.919689,0.141762,0.139896,enhanced_detection
0004.JPEG,val,15,low,0.691571,0.919689,0.141762,0.139896,enhanced_detection
0005.JPEG,val,0,dent,0.84556,0.835052,0.301158,0.319588,enhanced_detection
0005.JPEG,val,6,front_bumper,0.84556,0.835052,0.301158,0.319588,enhanced_detection
0005.JPEG,val,16,medium,0.84556,0.835052,0.301158,0.319588,enhanced_detection
0005.JPEG,val,2,crack,0.953668,0.613402,0.07722,0.103093,enhanced_detection
0005.JPEG,val,11,right_door,0.953668,0.613402,0.07722,0.103093,enhanced_detection
0005.JPEG,val,15,low,0.953668,0.613402,0.07722,0.103093,enhanced_detection
0006.JPEG,val,0,dent,0.167273,0.150273,0.334545,0.300546,enhanced_detection
0006.JPEG,val,12,roof,0.167273,0.150273,0.334545,0.300546,enhanced_detection
0006.JPEG,val,16,medium,0.167273,0.150273,0.334545,0.300546,enhanced_detection
0008.JPEG,val,2,crack,0.097778,0.52,0.195556,0.08,enhanced_detection
0008.JPEG,val,10,left_door,0.097778,0.52,0.195556,0.08,enhanced_detection
0008.JPEG,val,16,medium,0.097778,0.52,0.195556,0.08,enhanced_detection
0008.JPEG,val,4,paint_damage,0.717778,0.071111,0.555556,0.071111,enhanced_detection
0008.JPEG,val,7,rear_bumper,0.717778,0.071111,0.555556,0.071111,enhanced_detection
0008.JPEG,val,16,medium,0.717778,0.071111,0.555556,0.071111,enhanced_detection
0010.JPEG,val,2,crack,0.101818,0.789617,0.203636,0.409836,enhanced_detection
0010.JPEG,val,10,left_door,0.101818,0.789617,0.203636,0.409836,enhanced_detection
0010.JPEG,val,16,medium,0.101818,0.789617,0.203636,0.409836,enhanced_detection
0010.JPEG,val,2,crack,0.823636,0.827869,0.061818,0.092896,enhanced_detection
0010.JPEG,val,6,front_bumper,0.823636,0.827869,0.061818,0.092896,enhanced_detection
0010.JPEG,val,16,medium,0.823636,0.827869,0.061818,0.092896,enhanced_detection
0011.JPEG,val,0,dent,0.451389,0.057143,0.111111,0.114286,enhanced_detection
0011.JPEG,val,7,rear_bumper,0.451389,0.057143,0.111111,0.114286,enhanced_detection
0011.JPEG,val,15,low,0.451389,0.057143,0.111111,0.114286,enhanced_detection
0011.JPEG,val,2,crack,0.147569,0.162857,0.295139,0.12,enhanced_detection
0011.JPEG,val,7,rear_bumper,0.147569,0.162857,0.295139,0.12,enhanced_detection
0011.JPEG,val,16,medium,0.147569,0.162857,0.295139,0.12,enhanced_detection
0014.JPEG,val,0,dent,0.665414,0.111111,0.105263,0.222222,enhanced_detection
0014.JPEG,val,12,roof,0.665414,0.111111,0.105263,0.222222,enhanced_detection
0014.JPEG,val,16,medium,0.665414,0.111111,0.105263,0.222222,enhanced_detection
0015.JPEG,val,3,broken_part,0.15,0.896907,0.3,0.195876,enhanced_detection
0015.JPEG,val,6,front_bumper,0.15,0.896907,0.3,0.195876,enhanced_detection
0015.JPEG,val,16,medium,0.15,0.896907,0.3,0.195876,enhanced_detection
0015.JPEG,val,2,crack,0.165385,0.399485,0.107692,0.170103,enhanced_detection
0015.JPEG,val,10,left_door,0.165385,0.399485,0.107692,0.170103,enhanced_detection
0015.JPEG,val,16,medium,0.165385,0.399485,0.107692,0.170103,enhanced_detection
0015.JPEG,val,0,dent,0.203846,0.829897,0.107692,0.14433,enhanced_detection
0015.JPEG,val,6,front_bumper,0.203846,0.829897,0.107692,0.14433,enhanced_detection
0015.JPEG,val,15,low,0.203846,0.829897,0.107692,0.14433,enhanced_detection
0015.JPEG,val,2,crack,0.090385,0.811856,0.073077,0.07732,enhanced_detection
0015.JPEG,val,10,left_door,0.090385,0.811856,0.073077,0.07732,enhanced_detection
0015.JPEG,val,15,low,0.090385,0.811856,0.073077,0.07732,enhanced_detection
0015.JPEG,val,2,crack,0.046154,0.762887,0.061538,0.082474,enhanced_detection
0015.JPEG,val,10,left_door,0.046154,0.762887,0.061538,0.082474,enhanced_detection
0015.JPEG,val,15,low,0.046154,0.762887,0.061538,0.082474,enhanced_detection
0016.JPEG,val,0,dent,0.085455,0.942623,0.076364,0.103825,enhanced_detection
0016.JPEG,val,6,front_bumper,0.085455,0.942623,0.076364,0.103825,enhanced_detection
0016.JPEG,val,15,low,0.085455,0.942623,0.076364,0.103825,enhanced_detection
0016.JPEG,val,2,crack,0.498182,0.18306,0.996364,0.36612,enhanced_detection
0016.JPEG,val,12,roof,0.498182,0.18306,0.996364,0.36612,enhanced_detection
0016.JPEG,val,17,high,0.498182,0.18306,0.996364,0.36612,enhanced_detection
0017.JPEG,val,3,broken_part,0.498182,0.918033,0.996364,0.153005,enhanced_detection
0017.JPEG,val,6,front_bumper,0.498182,0.918033,0.996364,0.153005,enhanced_detection
0017.JPEG,val,16,medium,0.498182,0.918033,0.996364,0.153005,enhanced_detection
0017.JPEG,val,2,crack,0.969091,0.762295,0.054545,0.15847,enhanced_detection
0017.JPEG,val,11,right_door,0.969091,0.762295,0.054545,0.15847,enhanced_detection
0017.JPEG,val,16,medium,0.969091,0.762295,0.054545,0.15847,enhanced_detection
0017.JPEG,val,1,scratch,0.478182,0.756831,0.614545,0.180328,enhanced_detection
0017.JPEG,val,6,front_bumper,0.478182,0.756831,0.614545,0.180328,enhanced_detection
0017.JPEG,val,17,high,0.478182,0.756831,0.614545,0.180328,enhanced_detection
0017.JPEG,val,0,dent,0.167273,0.920765,0.109091,0.114754,enhanced_detection
0017.JPEG,val,6,front_bumper,0.167273,0.920765,0.109091,0.114754,enhanced_detection
0017.JPEG,val,15,low,0.167273,0.920765,0.109091,0.114754,enhanced_detection
0018.JPEG,val,3,broken_part,0.593066,0.61413,0.551095,0.423913,enhanced_detection
0018.JPEG,val,13,side_panel,0.593066,0.61413,0.551095,0.423913,enhanced_detection
0018.JPEG,val,17,high,0.593066,0.61413,0.551095,0.423913,enhanced_detection
0018.JPEG,val,0,dent,0.879562,0.630435,0.080292,0.108696,enhanced_detection
0018.JPEG,val,11,right_door,0.879562,0.630435,0.080292,0.108696,enhanced_detection
0018.JPEG,val,15,low,0.879562,0.630435,0.080292,0.108696,enhanced_detection
0019.JPEG,val,2,crack,0.720077,0.902062,0.382239,0.185567,enhanced_detection
0019.JPEG,val,6,front_bumper,0.720077,0.902062,0.382239,0.185567,enhanced_detection
0019.JPEG,val,17,high,0.720077,0.902062,0.382239,0.185567,enhanced_detection
0019.JPEG,val,2,crack,0.797297,0.757732,0.397683,0.474227,enhanced_detection
0019.JPEG,val,11,right_door,0.797297,0.757732,0.397683,0.474227,enhanced_detection
0019.JPEG,val,17,high,0.797297,0.757732,0.397683,0.474227,enhanced_detection
0019.JPEG,val,2,crack,0.07529,0.286082,0.150579,0.07732,enhanced_detection
0019.JPEG,val,10,left_door,0.07529,0.286082,0.150579,0.07732,enhanced_detection
0019.JPEG,val,16,medium,0.07529,0.286082,0.150579,0.07732,enhanced_detection
0019.JPEG,val,2,crack,0.888031,0.219072,0.216216,0.108247,enhanced_detection
0019.JPEG,val,11,right_door,0.888031,0.219072,0.216216,0.108247,enhanced_detection
0019.JPEG,val,16,medium,0.888031,0.219072,0.216216,0.108247,enhanced_detection
0019.JPEG,val,0,dent,0.644788,0.585052,0.162162,0.118557,enhanced_detection
0019.JPEG,val,13,side_panel,0.644788,0.585052,0.162162,0.118557,enhanced_detection
0019.JPEG,val,15,low,0.644788,0.585052,0.162162,0.118557,enhanced_detection
0022.JPEG,val,0,dent,0.557915,0.956186,0.505792,0.07732,enhanced_detection
0022.JPEG,val,6,front_bumper,0.557915,0.956186,0.505792,0.07732,enhanced_detection
0022.JPEG,val,15,low,0.557915,0.956186,0.505792,0.07732,enhanced_detection
0022.JPEG,val,0,dent,0.92278,0.884021,0.146718,0.118557,enhanced_detection
0022.JPEG,val,6,front_bumper,0.92278,0.884021,0.146718,0.118557,enhanced_detection
0022.JPEG,val,15,low,0.92278,0.884021,0.146718,0.118557,enhanced_detection
0024.JPEG,val,2,crack,0.78839,0.703704,0.258427,0.148148,enhanced_detection
0024.JPEG,val,11,right_door,0.78839,0.703704,0.258427,0.148148,enhanced_detection
0024.JPEG,val,16,medium,0.78839,0.703704,0.258427,0.148148,enhanced_detection
0025.JPEG,train,2,crack,0.050909,0.092896,0.101818,0.185792,enhanced_detection
0025.JPEG,train,7,rear_bumper,0.050909,0.092896,0.101818,0.185792,enhanced_detection
0025.JPEG,train,16,medium,0.050909,0.092896,0.101818,0.185792,enhanced_detection
0025.JPEG,train,2,crack,0.283636,0.756831,0.450909,0.278689,enhanced_detection
0025.JPEG,train,6,front_bumper,0.283636,0.756831,0.450909,0.278689,enhanced_detection
0025.JPEG,train,16,medium,0.283636,0.756831,0.450909,0.278689,enhanced_detection
0025.JPEG,train,0,dent,0.854545,0.734973,0.283636,0.519126,enhanced_detection
0025.JPEG,train,11,right_door,0.854545,0.734973,0.283636,0.519126,enhanced_detection
0025.JPEG,train,16,medium,0.854545,0.734973,0.283636,0.519126,enhanced_detection
0025.JPEG,train,0,dent,0.818182,0.73224,0.123636,0.131148,enhanced_detection
0025.JPEG,train,11,right_door,0.818182,0.73224,0.123636,0.131148,enhanced_detection
0025.JPEG,train,15,low,0.818182,0.73224,0.123636,0.131148,enhanced_detection
0025.JPEG,train,0,dent,0.72,0.754098,0.087273,0.131148,enhanced_detection
0025.JPEG,train,6,front_bumper,0.72,0.754098,0.087273,0.131148,enhanced_detection
0025.JPEG,train,15,low,0.72,0.754098,0.087273,0.131148,enhanced_detection
0025.JPEG,train,2,crack,0.2,0.584699,0.4,0.10929,enhanced_detection
0025.JPEG,train,10,left_door,0.2,0.584699,0.4,0.10929,enhanced_detection
0025.JPEG,train,16,medium,0.2,0.584699,0.4,0.10929,enhanced_detection
0026.JPEG,val,4,paint_damage,0.574766,0.125,0.149533,0.25,enhanced_detection
0026.JPEG,val,12,roof,0.574766,0.125,0.149533,0.25,enhanced_detection
0026.JPEG,val,16,medium,0.574766,0.125,0.149533,0.25,enhanced_detection
0026.JPEG,val,0,dent,0.264019,0.065678,0.21028,0.131356,enhanced_detection
0026.JPEG,val,7,rear_bumper,0.264019,0.065678,0.21028,0.131356,enhanced_detection
0026.JPEG,val,16,medium,0.264019,0.065678,0.21028,0.131356,enhanced_detection
0027.JPEG,train,3,broken_part,0.494208,0.363402,0.15444,0.21134,enhanced_detection
0027.JPEG,train,8,hood,0.494208,0.363402,0.15444,0.21134,enhanced_detection
0027.JPEG,train,16,medium,0.494208,0.363402,0.15444,0.21134,enhanced_detection
0027.JPEG,train,0,dent,0.557915,0.21134,0.088803,0.164948,enhanced_detection
0027.JPEG,train,9,windshield,0.557915,0.21134,0.088803,0.164948,enhanced_detection
0027.JPEG,train,16,medium,0.557915,0.21134,0.088803,0.164948,enhanced_detection
0028.JPEG,val,2,crack,0.382246,0.114754,0.148551,0.229508,enhanced_detection
0028.JPEG,val,12,roof,0.382246,0.114754,0.148551,0.229508,enhanced_detection
0028.JPEG,val,16,medium,0.382246,0.114754,0.148551,0.229508,enhanced_detection
0029.JPEG,val,0,dent,0.588803,0.943299,0.096525,0.103093,enhanced_detection
0029.JPEG,val,6,front_bumper,0.588803,0.943299,0.096525,0.103093,enhanced_detection
0029.JPEG,val,15,low,0.588803,0.943299,0.096525,0.103093,enhanced_detection
0029.JPEG,val,2,crack,0.102317,0.863402,0.204633,0.262887,enhanced_detection
0029.JPEG,val,6,front_bumper,0.102317,0.863402,0.204633,0.262887,enhanced_detection
