image_name,split,damage_type,damage_location,severity,bounding_box,confidence,flag
0001.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4953,manual_review
0002.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4248,manual_review
0003.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4977,manual_review
0004.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5977,manual_review
0005.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4157,manual_review
0006.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5808,manual_review
0007.JPEG,train,paint_damage,side_panel,medium,"[0, 0, 290, 144]",0.6445,auto_labeled
0008.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4332,manual_review
0009.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5423,manual_review
0010.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4304,manual_review
0011.JPEG,train,crack,front_bumper,medium,"[0, 146, 259, 47]",0.6383,auto_labeled
0011.JPEG,train,paint_damage,hood,medium,"[0, 0, 259, 104]",0.6409,auto_labeled
0012.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5115,manual_review
0013.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4658,manual_review
0014.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.543,manual_review
0015.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4151,manual_review
0016.JPEG,train,paint_damage,side_panel,high,"[0, 0, 310, 163]",0.8142,auto_labeled
0017.JPEG,train,paint_damage,side_panel,medium,"[0, 0, 168, 240]",0.6456,auto_labeled
0017.JPEG,train,paint_damage,front_bumper,medium,"[0, 250, 168, 48]",0.6113,auto_labeled
0018.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4365,manual_review
0019.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5749,manual_review
0020.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.599,manual_review
0021.JPEG,train,scratch,side_panel,high,"[0, 0, 300, 168]",0.7506,auto_labeled
0022.JPEG,train,paint_damage,side_panel,medium,"[0, 0, 259, 194]",0.6595,auto_labeled
0023.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5369,manual_review
0024.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5834,manual_review
0025.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4436,manual_review
0026.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4856,manual_review
0027.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5064,manual_review
0028.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4306,manual_review
0029.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5189,manual_review
0030.JPEG,train,paint_damage,front_bumper,medium,"[0, 181, 259, 12]",0.7437,auto_labeled
0030.JPEG,train,paint_damage,side_panel,high,"[0, 0, 259, 171]",0.7724,auto_labeled
0030.JPEG,train,dent,other_location,low,"[25, 170, 27, 10]",0.2856,auto_labeled
0031.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4154,manual_review
0032.JPEG,train,scratch,side_panel,high,"[0, 0, 293, 172]",0.7336,auto_labeled
0033.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5241,manual_review
0034.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.42,manual_review
0035.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5938,manual_review
0036.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4446,manual_review
0037.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4292,manual_review
0038.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.588,manual_review
0039.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5393,manual_review
0040.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5217,manual_review
0041.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5758,manual_review
0042.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5794,manual_review
0043.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4978,manual_review
0044.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5075,manual_review
0045.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4571,manual_review
0046.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5911,manual_review
0047.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4027,manual_review
0048.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4351,manual_review
0049.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5302,manual_review
0050.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.477,manual_review
0051.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.3899,manual_review
0052.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5478,manual_review
0053.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5756,manual_review
0054.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4788,manual_review
0055.JPEG,train,scratch,side_panel,high,"[0, 0, 357, 141]",0.7217,auto_labeled
0056.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5384,manual_review
0057.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4288,manual_review
0058.JPEG,train,paint_damage,side_panel,medium,"[0, 0, 259, 194]",0.6998,auto_labeled
0059.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4385,manual_review
0060.JPEG,train,paint_damage,side_panel,high,"[0, 0, 299, 157]",0.6994,auto_labeled
0060.JPEG,train,crack,front_bumper,medium,"[0, 150, 299, 17]",0.5773,auto_labeled
0061.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4924,manual_review
0062.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4685,manual_review
0063.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5149,manual_review
0064.JPEG,train,paint_damage,side_panel,medium,"[20, 0, 278, 168]",0.648,auto_labeled
0065.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4901,manual_review
