class_type,class_name,count,percentage
damage_type,dent,1047,47.08
damage_type,crack,855,38.44
damage_type,paint_damage,180,8.09
damage_type,broken_part,139,6.25
damage_type,scratch,3,0.13
damage_location,front_bumper,753,33.86
damage_location,roof,60,2.7
damage_location,right_door,433,19.47
damage_location,rear_bumper,218,9.8
damage_location,side_panel,196,8.81
damage_location,left_door,417,18.75
damage_location,windshield,57,2.56
damage_location,other_location,45,2.02
damage_location,hood,45,2.02
severity,low,1028,46.22
severity,medium,990,44.51
severity,high,206,9.26
