image_name,damage_type,location,severity,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0025.jpeg,crack,rear_bumper,medium,0.050909,0.092896,0.101818,0.185792
0025.jpeg,crack,front_bumper,medium,0.283636,0.756831,0.450909,0.278689
0025.jpeg,dent,right_door,medium,0.854545,0.734973,0.283636,0.519126
0025.jpeg,dent,right_door,low,0.818182,0.732240,0.123636,0.131148
0025.jpeg,dent,front_bumper,low,0.720000,0.754098,0.087273,0.131148
0025.jpeg,crack,left_door,medium,0.200000,0.584699,0.400000,0.109290
0027.jpeg,broken_part,hood,medium,0.494208,0.363402,0.154440,0.211340
0027.jpeg,dent,windshield,medium,0.557915,0.211340,0.088803,0.164948
0043.jpeg,crack,left_door,high,0.198276,0.344828,0.396552,0.689655
0043.jpeg,dent,front_bumper,low,0.455172,0.885057,0.131034,0.114943
0043.jpeg,dent,right_door,low,0.817241,0.729885,0.158621,0.114943
0043.jpeg,dent,hood,low,0.705172,0.321839,0.051724,0.126437
0043.jpeg,dent,front_bumper,low,0.684483,0.787356,0.106897,0.091954
0046.jpeg,crack,rear_bumper,medium,0.265000,0.053571,0.123333,0.107143
0046.jpeg,dent,front_bumper,low,0.101667,0.907738,0.143333,0.172619
0049.jpeg,scratch,rear_bumper,high,0.498077,0.100515,0.996154,0.201031
0049.jpeg,paint_damage,front_bumper,low,0.215385,0.938144,0.123077,0.113402
0049.jpeg,crack,front_bumper,medium,0.615385,0.935567,0.761538,0.118557
0049.jpeg,crack,front_bumper,medium,0.498077,0.817010,0.996154,0.304124
0049.jpeg,crack,other_location,medium,0.498077,0.402062,0.996154,0.628866
0050.jpeg,broken_part,windshield,medium,0.693050,0.206186,0.606178,0.412371
0050.jpeg,dent,front_bumper,medium,0.330116,0.873711,0.281853,0.242268
0050.jpeg,dent,left_door,low,0.289575,0.716495,0.061776,0.164948
0114.jpeg,crack,rear_bumper,medium,0.133459,0.047619,0.266917,0.095238
0114.jpeg,crack,front_bumper,medium,0.498120,0.769841,0.996241,0.449735
0118.jpeg,crack,left_door,low,0.132692,0.371134,0.265385,0.144330
0128.jpeg,dent,left_door,low,0.042308,0.311856,0.084615,0.139175
0143.jpeg,dent,right_door,low,0.922780,0.430412,0.146718,0.118557
0148.jpeg,dent,front_bumper,medium,0.770270,0.822165,0.297297,0.293814
0148.jpeg,crack,right_door,medium,0.918919,0.778351,0.154440,0.092784
0148.jpeg,dent,right_door,low,0.951737,0.855670,0.088803,0.144330
0148.jpeg,crack,front_bumper,medium,0.507722,0.778351,0.389961,0.113402
0152.jpeg,crack,front_bumper,medium,0.099237,0.898438,0.198473,0.098958
0152.jpeg,broken_part,right_door,medium,0.927481,0.864583,0.137405,0.208333
0154.jpeg,crack,left_door,low,0.029528,0.424242,0.059055,0.131313
0155.jpeg,crack,right_door,low,0.963636,0.759563,0.065455,0.185792
0157.jpeg,crack,right_door,medium,0.888031,0.396907,0.216216,0.247423
0157.jpeg,dent,right_door,low,0.965251,0.907216,0.061776,0.175258
0157.jpeg,dent,side_panel,low,0.343629,0.592784,0.115830,0.185567
0157.jpeg,dent,left_door,low,0.044402,0.203608,0.081081,0.108247
0157.jpeg,crack,front_bumper,medium,0.249035,0.798969,0.498069,0.103093
0159.jpeg,paint_damage,front_bumper,medium,0.069588,0.965251,0.139175,0.061776
0159.jpeg,crack,left_door,medium,0.211340,0.517375,0.422680,0.069498
0159.jpeg,crack,roof,medium,0.435567,0.129344,0.871134,0.258687
0159.jpeg,crack,rear_bumper,medium,0.731959,0.102317,0.340206,0.158301
0159.jpeg,crack,front_bumper,medium,0.497423,0.702703,0.994845,0.277992
0161.jpeg,dent,right_door,low,0.896648,0.402482,0.150838,0.060284
0169.jpeg,dent,left_door,low,0.046332,0.689744,0.069498,0.097436
0172.jpeg,crack,front_bumper,low,0.799228,0.953608,0.138996,0.082474
0186.jpeg,crack,left_door,medium,0.048263,0.445876,0.096525,0.201031
0186.jpeg,dent,front_bumper,medium,0.731660,0.770619,0.359073,0.283505
0186.jpeg,crack,left_door,medium,0.069498,0.670103,0.138996,0.134021
0188.jpeg,crack,left_door,medium,0.108696,0.275956,0.217391,0.245902
0199.jpeg,crack,front_bumper,medium,0.907336,0.941026,0.177606,0.097436
0201.jpeg,dent,left_door,low,0.078333,0.514881,0.063333,0.113095
0236.jpeg,crack,left_door,low,0.038660,0.872587,0.077320,0.138996
