                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2808,                 4.4902,                 2.2104,                0.32932,                0.07102,                0.02301,                0.00825,                 2.4223,                 4.1293,                 2.2018,               0.067717,             0.00032609,             0.00032609
                      2,                 2.0613,                  3.901,                 2.0168,                0.22126,                0.20161,                0.02919,                0.01036,                 2.3461,                 9.3423,                 2.2807,               0.034711,             0.00065289,             0.00065289
                      3,                 2.0556,                 3.5504,                  2.009,                0.30696,                 0.1103,                0.03904,                0.01546,                 2.4222,                 4.8819,                 2.5207,              0.0016977,              0.0009731,              0.0009731
                      4,                 2.1424,                 3.2675,                  2.111,                0.16572,                0.12423,                0.03853,                0.01517,                 2.3337,                 5.8487,                  2.315,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.0694,                 3.2711,                 2.0611,                0.14928,                0.07386,                0.01584,                0.00638,                 2.4979,                 9.0827,                 2.3311,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.0461,                 3.2079,                 2.0563,                  0.238,                0.08017,                0.03241,                0.01131,                 2.3428,                  4.474,                 2.3698,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.9922,                 3.4428,                  2.008,                0.23828,                0.09505,                0.03692,                0.01437,                 2.2792,                 3.5185,                 2.3878,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.9896,                  3.134,                   2.01,                0.24681,                0.11179,                0.05554,                0.02103,                 2.2277,                  3.327,                 2.2349,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.9476,                 3.0516,                 2.0104,                0.27219,                 0.1143,                0.05317,                0.01965,                 2.2666,                 3.1654,                 2.2622,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.9482,                 3.0213,                 2.0727,                0.29584,                0.10714,                0.06027,                0.02253,                 2.3177,                 3.2544,                 2.4288,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.9115,                 3.0028,                 2.0089,                0.21683,                0.13067,                0.06746,                0.02803,                 2.2018,                 3.2334,                 2.2424,               0.000901,               0.000901,               0.000901
                     12,                 1.9239,                 2.9845,                 2.0149,                 0.1503,                0.11493,                0.06405,                0.02384,                 2.2569,                 3.1972,                 2.3565,              0.0008911,              0.0008911,              0.0008911
                     13,                  1.909,                 2.9173,                 2.0058,                0.38737,                0.12147,                0.07188,                 0.0301,                 2.1021,                 3.0549,                 2.2032,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.8438,                 3.1466,                 1.9317,                0.25989,                0.11335,                0.06136,                 0.0243,                 2.1665,                 3.0785,                 2.1937,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.8585,                 2.8699,                 1.9522,                0.29844,                0.13976,                0.08094,                0.03336,                 2.1158,                 2.9078,                  2.162,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.8425,                 3.0917,                 1.9259,                0.21897,                0.14373,                0.07114,                0.02671,                 2.1697,                 3.2127,                 2.2226,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.8436,                  2.852,                 1.9501,                0.25987,                0.10725,                 0.0559,                0.02359,                 2.1691,                 3.1806,                 2.2698,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.7919,                 3.1021,                 1.9117,                0.24388,                 0.1256,                0.08322,                0.03538,                 2.1111,                 2.9273,                 2.1744,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.8119,                 2.7584,                 1.9385,                0.21567,                 0.1446,                0.07908,                0.03158,                 2.0939,                 2.9392,                 2.1402,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.8211,                 2.7642,                 1.9355,                0.22745,                0.15046,                0.08332,                0.04033,                 2.0319,                 3.1593,                 2.0973,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.8322,                 2.8466,                  1.938,                0.15067,                0.17434,                0.09105,                0.04522,                 2.0974,                  2.899,                 2.1317,               0.000802,               0.000802,               0.000802
                     22,                 1.8209,                 2.7454,                 1.9061,                0.21603,                 0.1592,                0.07628,                0.03241,                 2.1375,                 2.9632,                 2.1553,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.7821,                 2.7677,                 1.8953,                0.30633,                0.13928,                0.09619,                0.04265,                 2.0654,                 2.7587,                 2.1576,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.7986,                 2.7158,                 1.9106,                0.21598,                0.13869,                0.08154,                0.03512,                 2.0423,                 2.9911,                 2.1345,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.7534,                 2.7045,                 1.9021,                0.21035,                0.15404,                 0.1028,                0.04977,                  2.045,                 2.8932,                 2.1364,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.7431,                 2.6746,                 1.8749,                0.15265,                0.19422,                0.08847,                0.03879,                  2.111,                 3.2274,                 2.1481,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.7762,                 2.6721,                 1.9104,                0.20537,                0.13388,                0.09394,                  0.042,                  2.146,                  3.021,                 2.2289,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.7408,                 2.5969,                  1.847,                0.30365,                0.14443,                0.11247,                0.04512,                 2.1343,                 2.8329,                 2.1577,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.7683,                  2.589,                 1.9016,                0.23043,                0.17171,                0.10769,                0.04551,                 2.1509,                 2.7466,                 2.2473,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.6943,                 2.8621,                 1.8119,                0.29707,                0.16303,                0.08988,                0.03902,                 2.0793,                 2.9726,                 2.1587,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.6907,                 2.8567,                 1.8251,                0.23496,                0.13943,                0.08439,                0.03335,                  2.069,                 2.8837,                 2.1139,               0.000703,               0.000703,               0.000703
                     32,                 1.7618,                 2.6005,                 1.8721,                0.36299,                0.13007,                0.09424,                0.03951,                 2.0987,                 2.8415,                 2.1456,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.7032,                 2.5257,                 1.8117,                0.32457,                0.18926,                0.11815,                0.05491,                 2.0691,                 2.7895,                 2.1488,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.6969,                  2.467,                 1.8459,                 0.2273,                0.19469,                0.12299,                0.05439,                  2.071,                 2.7306,                 2.1223,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.7046,                  2.479,                 1.8412,                 0.1073,                0.16666,                0.10625,                0.04613,                  2.144,                 2.8057,                 2.2056,              0.0006634,              0.0006634,              0.0006634
