                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2003,                 4.1321,                  2.096,                0.41018,                0.03403,                0.00428,                0.00151,                 2.5465,                  4.849,                 2.5577,               0.067717,             0.00032609,             0.00032609
                      2,                 1.9595,                 3.4913,                 1.9383,                0.23875,                  0.137,                0.02989,                0.01101,                 2.2879,                 17.454,                 2.2237,               0.034711,             0.00065289,             0.00065289
                      3,                 1.9321,                  3.303,                  1.882,                0.12157,                0.10031,                0.04612,                 0.0157,                 2.3036,                 5.5781,                 2.4028,              0.0016977,              0.0009731,              0.0009731
                      4,                 1.9779,                 3.1817,                 1.9414,                0.26905,                0.07634,                0.03613,                0.01466,                  2.199,                 5.9573,                 2.2101,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.9283,                 3.1439,                 1.9155,                 0.0363,                0.16015,                0.02739,                0.01041,                  2.163,                 4.0169,                 2.2063,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.9113,                 3.0574,                  1.939,                 0.2766,                0.05532,                0.02883,                0.01011,                 2.2688,                   3.85,                 2.2861,              0.0009505,              0.0009505,              0.0009505
                      7,                  1.888,                 3.1149,                  1.853,                0.07319,                0.09977,                0.05126,                0.01685,                 2.1809,                  3.556,                 2.1679,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.8792,                   2.95,                 1.8679,                0.14373,                0.11162,                0.06115,                0.02357,                 2.1922,                  3.452,                 2.1117,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.8602,                 2.9137,                  1.861,                0.16264,                 0.0956,                0.05674,                0.02153,                 2.2299,                 3.2491,                 2.1513,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.8387,                 2.9198,                 1.8531,                0.14576,                0.12162,                0.08146,                0.03432,                 2.0592,                 3.4022,                 2.0197,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.8144,                 2.9119,                 1.8164,                0.08803,                0.11345,                0.06336,                0.02636,                 2.0758,                 3.1569,                 2.0545,               0.000901,               0.000901,               0.000901
                     12,                 1.8278,                 2.8678,                 1.8185,                0.07175,                0.12128,                0.05033,                0.01867,                 2.0484,                 3.6596,                  2.012,              0.0008911,              0.0008911,              0.0008911
